BMI,age,Profile_Effort,app_usage_time_min,swipe_right_ratio,emoji_usage_rate,profile_pics_count,bio_length,Is_Top_Tier
18.287464528624838,56,176,52.0,0.6,0.36,4,44,0
29.011446409989592,40,903,279.0,0.56,0.42,3,301,0
28.31263696128561,30,618,49.0,0.41,0.41,2,309,0
20.78765390453702,57,175,185.0,0.32,0.07,5,35,0
18.017206432142697,24,343,83.0,0.32,0.11,1,343,0
19.111477643515364,39,448,138.0,0.62,0.18,4,112,0
28.80527210884354,44,606,161.0,0.38,0.32,3,202,1
26.818559392429094,59,224,219.0,0.47,0.54,2,112,0
25.390624999999996,26,956,32.0,0.23,0.27,4,239,0
24.38489539932459,24,3,150.0,0.68,0.27,3,1,0
21.09682219151876,46,1952,191.0,0.41,0.57,4,488,0
28.19692120103642,46,0,123.0,0.53,0.13,0,43,0
24.793388429752067,26,1544,216.0,0.71,0.43,4,386,1
25.116167280884472,21,1132,32.0,0.38,0.23,4,283,0
25.200000000000003,44,327,121.0,0.28,0.08,3,109,0
17.990891640633823,32,432,49.0,0.56,0.39,2,216,0
25.77883472057075,20,216,97.0,0.49,0.54,1,216,0
21.102318478411775,43,85,47.0,0.49,0.31,1,85,0
26.506460572394637,56,2005,146.0,0.46,0.41,5,401,1
27.004045453374218,19,0,31.0,0.65,0.18,0,25,0
26.3,18,504,120.0,0.68,0.2,4,126,0
19.804687499999996,44,201,160.0,0.54,0.19,3,67,1
20.100221158422215,41,902,259.0,0.56,0.68,2,451,0
18.99092970521542,22,612,4.0,0.57,0.29,4,153,0
26.884785755010743,25,351,107.0,0.88,0.29,1,351,0
23.58974358974359,58,670,170.0,0.17,0.12,5,134,0
27.70544175682569,44,1128,279.0,0.46,0.28,4,282,0
27.50156767893935,31,1808,52.0,0.5,0.36,4,452,1
20.407231555880205,25,2075,210.0,0.78,0.13,5,415,1
25.90431010268094,26,490,116.0,0.52,0.16,5,98,1
22.502650388153622,38,182,14.0,0.19,0.23,2,91,0
28.197077647627097,53,388,59.0,0.32,0.17,4,97,0
26.282763813689986,53,0,160.0,0.66,0.06,0,368,1
22.19909816163718,57,315,194.0,1.0,0.24,1,315,0
23.59861349392529,30,1035,164.0,0.6,0.25,3,345,1
23.6995998768852,24,75,158.0,0.74,0.39,1,75,0
21.1,36,335,253.0,0.87,0.27,1,335,0
28.988202784567967,25,1422,62.0,0.31,0.54,6,237,1
22.10529325974434,48,690,81.0,0.66,0.71,3,230,0
23.7,28,326,146.0,0.35,0.22,2,163,0
25.88757396449704,32,0,277.0,0.5,0.66,0,105,1
26.68456040697856,58,1395,214.0,0.49,0.1,5,279,0
25.616295667605417,45,1434,207.0,0.46,0.39,6,239,1
18.787404358475797,36,216,25.0,0.65,0.27,2,108,0
20.185185185185187,56,332,276.0,0.54,0.08,1,332,0
22.497704315886136,51,238,58.0,0.85,0.4,1,238,0
18.307618494482462,53,609,294.0,0.72,0.33,3,203,0
21.709593572778825,44,544,289.0,0.38,0.11,2,272,0
21.208448753462605,41,1410,185.0,0.69,0.51,6,235,1
22.41129775009868,52,425,137.0,0.2,0.19,1,425,0
28.203124999999996,27,348,108.0,0.64,0.1,2,174,0
26.881215987990245,29,353,250.0,0.43,0.13,1,353,0
29.705601020299714,37,484,156.0,0.51,0.1,2,242,0
18.78829922534397,42,161,118.0,0.67,0.03,1,161,0
24.311829099798068,45,0,268.0,0.34,0.32,0,426,0
23.410741841996312,40,2415,27.0,0.83,0.25,5,483,1
29.806094182825483,48,198,129.0,0.25,0.36,6,33,1
20.214030915576696,32,1220,285.0,0.83,0.09,4,305,0
